Original,Nuevo
,VI1R1C2
,VI1R2C1
,VI1R2C2
,VI1R3C1
,VI1R3C2
,VI1R4C1
,VI1R4C2
,VI1R5C1
,VI1R5C2
,VI1R6C1
,VI1R6C2
,VI1R7C1
,VI1R7C2
,VI1R8C2
,VI2R1C1
,VI2R1C2
,VI2R2C1
,VI2R2C2
,VI2R3C1
,VI2R3C2
,VI2R4C1
,VI2R4C2
,VI2R5C1
,VI2R5C2
,VI2R6C1
,VI2R6C2
,VI2R7C1
,VI2R7C2
,VI2R8C2
,VI3R1C1
,VI3R1C2
,VI3R2C1
,VI3R2C2
,VI3R3C1
,VI3R3C2
,VI3R4C1
,VI3R4C2
,VI3R5C2
,VI4R1C1
VI4R1C1,VI5R1C1
VI4R2C1,VI5R2C1
VI4R3C1,VI5R3C1
VI4R4C1,VI5R4C1
VI4R5C1,VI5R5C1
VI4R6C1,VI5R6C1
VI5R1C1,VI6R1C1
VI5R1C2,VI6R1C2
VI6R1C1,VI7R1C1
VI6R1C2,VI7R1C2
VI7R1C1,VI8R1C1
VI8R1C1,VI9R1C1
VI8R2C1,VI9R2C1
VI8R3C1,VI9R3C1
VI8R4C1,VI9R4C1
VI8R5C1,VI9R5C1
VI8R6C1,VI9R6C1
VI8R7C1,VI9R7C1
